source,target,extension,status,paragraphs,tables,sheets
D:\work\2026\4\5 组织生活会\5 山阳\附件5：个人发言材料-王保军 (1).docx,E:\sl_obsidian\converted_markdown\组织生活会\5 山阳\附件5：个人发言材料-王保军 (1).md,.docx,converted,63,0,
D:\work\2026\4\5 组织生活会\5 山阳\附件5：个人发言材料-王永成 (1).docx,E:\sl_obsidian\converted_markdown\组织生活会\5 山阳\附件5：个人发言材料-王永成 (1).md,.docx,converted,63,0,
D:\work\2026\4\5 组织生活会\5 山阳\附件5：个人发言材料-郭永峰 (1).docx,E:\sl_obsidian\converted_markdown\组织生活会\5 山阳\附件5：个人发言材料-郭永峰 (1).md,.docx,converted,64,0,
D:\work\2026\4\5 组织生活会\6 市场部\2025年度基层党组织组织生活会和开展民主评议党员大会.docx,E:\sl_obsidian\converted_markdown\组织生活会\6 市场部\2025年度基层党组织组织生活会和开展民主评议党员大会.md,.docx,converted,60,0,
D:\work\2026\4\5 组织生活会\6 市场部\2025年度市场部党支部民主评议党员.docx,E:\sl_obsidian\converted_markdown\组织生活会\6 市场部\2025年度市场部党支部民主评议党员.md,.docx,converted,61,0,
D:\work\2026\4\5 组织生活会\6 市场部\2025年度市场部党支部组织生活会个人发言材料-刘慧芳.docx,E:\sl_obsidian\converted_markdown\组织生活会\6 市场部\2025年度市场部党支部组织生活会个人发言材料-刘慧芳.md,.docx,converted,52,0,
D:\work\2026\4\5 组织生活会\6 市场部\2025年度市场部党支部组织生活会个人发言材料-孟闪飞.docx,E:\sl_obsidian\converted_markdown\组织生活会\6 市场部\2025年度市场部党支部组织生活会个人发言材料-孟闪飞.md,.docx,converted,57,0,
D:\work\2026\4\5 组织生活会\6 市场部\2025年度市场部党支部组织生活会个人发言材料-布振安.docx,E:\sl_obsidian\converted_markdown\组织生活会\6 市场部\2025年度市场部党支部组织生活会个人发言材料-布振安.md,.docx,converted,41,0,
D:\work\2026\4\5 组织生活会\6 市场部\2025年度市场部党支部组织生活会个人发言材料-王志娟.docx,E:\sl_obsidian\converted_markdown\组织生活会\6 市场部\2025年度市场部党支部组织生活会个人发言材料-王志娟.md,.docx,converted,37,0,
D:\work\2026\4\5 组织生活会\6 市场部\市场部党支部2025年度主题教育专题组织生活会查摆问题清单及整改措施.xlsx,E:\sl_obsidian\converted_markdown\组织生活会\6 市场部\市场部党支部2025年度主题教育专题组织生活会查摆问题清单及整改措施.md,.xlsx,converted,,,1
D:\work\2026\4\5 组织生活会\6 市场部\支部班子作对照检查发言+0314.docx,E:\sl_obsidian\converted_markdown\组织生活会\6 市场部\支部班子作对照检查发言+0314.md,.docx,converted,6,0,
D:\work\2026\4\5 组织生活会\7 解放\2025年度基层党组织组织生活会个人发言提纲_张允.docx,E:\sl_obsidian\converted_markdown\组织生活会\7 解放\2025年度基层党组织组织生活会个人发言提纲_张允.md,.docx,converted,52,0,
D:\work\2026\4\5 组织生活会\7 解放\2025年度组织生活会及民主评议党员规范化要求.docx,E:\sl_obsidian\converted_markdown\组织生活会\7 解放\2025年度组织生活会及民主评议党员规范化要求.md,.docx,converted,103,7,
D:\work\2026\4\5 组织生活会\7 解放\解放区分公司党支部2025年度组织生活会查摆问题及整改措施.xlsx,E:\sl_obsidian\converted_markdown\组织生活会\7 解放\解放区分公司党支部2025年度组织生活会查摆问题及整改措施.md,.xlsx,converted,,,3
D:\work\2026\4\5 组织生活会\7 解放\（张瑞）2025年度基层党组织组织生活会个人发言.docx,E:\sl_obsidian\converted_markdown\组织生活会\7 解放\（张瑞）2025年度基层党组织组织生活会个人发言.md,.docx,converted,56,0,
D:\work\2026\4\5 组织生活会\8 人力\2024+年组织生活会整改落实情况.docx,E:\sl_obsidian\converted_markdown\组织生活会\8 人力\2024+年组织生活会整改落实情况.md,.docx,converted,6,0,
D:\work\2026\4\5 组织生活会\8 人力\2025年人力资源部党支部年度工作汇报.docx,E:\sl_obsidian\converted_markdown\组织生活会\8 人力\2025年人力资源部党支部年度工作汇报.md,.docx,converted,41,0,
D:\work\2026\4\5 组织生活会\8 人力\人力资源部党支部2025年度组织生活会查摆问题清单及整改措施 (1).xlsx,E:\sl_obsidian\converted_markdown\组织生活会\8 人力\人力资源部党支部2025年度组织生活会查摆问题清单及整改措施 (1).md,.xlsx,converted,,,2
D:\work\2026\4\5 组织生活会\8 人力\人力资源部党支部2025年度组织生活会查摆问题清单及整改措施.xlsx,E:\sl_obsidian\converted_markdown\组织生活会\8 人力\人力资源部党支部2025年度组织生活会查摆问题清单及整改措施.md,.xlsx,converted,,,2
D:\work\2026\4\5 组织生活会\8 人力\附件附件5：个人发言材料-人力资源部党支部宋世旺.docx,E:\sl_obsidian\converted_markdown\组织生活会\8 人力\附件附件5：个人发言材料-人力资源部党支部宋世旺.md,.docx,converted,50,0,
D:\work\2026\4\5 组织生活会\8 人力\附件附件5：个人发言材料-人力资源部党支部牛春芳.docx,E:\sl_obsidian\converted_markdown\组织生活会\8 人力\附件附件5：个人发言材料-人力资源部党支部牛春芳.md,.docx,converted,58,0,
D:\work\2026\4\5 组织生活会\8 人力\附件附件5：个人发言材料-人力资源部党支部行鹏敏.docx,E:\sl_obsidian\converted_markdown\组织生活会\8 人力\附件附件5：个人发言材料-人力资源部党支部行鹏敏.md,.docx,converted,77,0,
D:\work\2026\4\5 组织生活会\9 机动通信管理局\个人发言材料.万仁伟.docx,E:\sl_obsidian\converted_markdown\组织生活会\9 机动通信管理局\个人发言材料.万仁伟.md,.docx,converted,106,0,
D:\work\2026\4\5 组织生活会\9 机动通信管理局\个人发言材料.张德保.docx,E:\sl_obsidian\converted_markdown\组织生活会\9 机动通信管理局\个人发言材料.张德保.md,.docx,converted,88,0,
D:\work\2026\4\5 组织生活会\9 机动通信管理局\个人发言材料.成利军.docx,E:\sl_obsidian\converted_markdown\组织生活会\9 机动通信管理局\个人发言材料.成利军.md,.docx,converted,56,0,
D:\work\2026\4\5 组织生活会\9 机动通信管理局\个人发言材料.李一.docx,E:\sl_obsidian\converted_markdown\组织生活会\9 机动通信管理局\个人发言材料.李一.md,.docx,converted,74,0,
D:\work\2026\4\5 组织生活会\9 机动通信管理局\个人发言材料.李强.docx,E:\sl_obsidian\converted_markdown\组织生活会\9 机动通信管理局\个人发言材料.李强.md,.docx,converted,66,0,
D:\work\2026\4\5 组织生活会\9 机动通信管理局\记录---民主评议党员部分和后续部分.docx,E:\sl_obsidian\converted_markdown\组织生活会\9 机动通信管理局\记录---民主评议党员部分和后续部分.md,.docx,converted,7,0,
